Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Tianjin,Mainland China,2020-03-01 12:43:02,136,3,111,39.3054,117.323
,Malaysia,2020-03-01 12:53:02,29,0,18,2.5,112.5
Guangdong,Mainland China,2020-03-01 14:13:18,1349,7,1016,23.3417,113.4244
Henan,Mainland China,2020-03-01 14:13:18,1272,22,1198,33.882,113.614
Hebei,Mainland China,2020-03-01 14:13:18,318,6,294,38.0428,114.5149
Hong Kong,Hong Kong,2020-03-01 14:33:16,96,2,36,22.3,114.2
Gansu,Mainland China,2020-03-01 14:33:17,91,2,84,36.0611,103.8343
,Iran,2020-03-01 15:33:03,978,54,175,32.0,53.0
,Lebanon,2020-03-01 15:33:03,10,0,0,33.8547,35.8623
,Netherlands,2020-03-01 15:33:03,10,0,0,52.1326,5.2913
"Providence, RI",US,2020-03-01 15:33:03,1,0,0,41.824,-71.4128
,Georgia,2020-03-01 15:43:03,3,0,0,42.3154,43.3569
,Czech Republic,2020-03-01 15:53:06,3,0,0,49.8175,15.473
,Dominican Republic,2020-03-01 16:03:06,1,0,0,18.7357,-70.1627
,Iraq,2020-03-01 16:43:02,19,0,0,33.0,44.0
,Armenia,2020-03-01 19:53:02,1,0,0,40.0691,45.0382
"Snohomish County, WA",US,2020-03-01 20:23:06,2,0,0,48.033,-121.8339
,France,2020-03-01 20:43:02,130,2,12,47.0,2.0
,Norway,2020-03-01 20:43:02,19,0,0,60.472,8.4689
"Seattle, WA",US,2020-03-01 21:13:12,9,1,1,47.6062,-122.3321
Chongqing,Mainland China,2020-03-01 23:13:08,576,6,450,30.0572,107.874
Shanxi,Mainland China,2020-03-01 23:13:08,133,0,116,37.5777,112.2922
,Finland,2020-03-01 23:23:02,6,0,1,64.0,26.0
,Germany,2020-03-01 23:23:02,130,0,16,51.0,9.0
,Greece,2020-03-01 23:23:02,7,0,0,39.0742,21.8243
,Israel,2020-03-01 23:23:02,10,0,1,31.0,35.0
,Italy,2020-03-01 23:23:02,1694,34,83,43.0,12.0
,Singapore,2020-03-01 23:23:02,106,0,72,1.2833,103.8333
