,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,2020-02-15,6.0,2.0,15.0,3.0,2.0,-1.0
1,2020-02-16,7.0,1.0,16.0,2.0,0.0,-1.0
2,2020-02-17,6.0,0.0,28.0,-9.0,-24.0,5.0
3,2020-02-18,0.0,-1.0,6.0,1.0,0.0,1.0
4,2020-02-19,2.0,0.0,8.0,1.0,1.0,0.0
5,2020-02-20,1.0,0.0,4.0,0.0,0.0,1.0
6,2020-02-21,2.0,-2.0,4.0,1.0,0.0,0.0
7,2020-02-22,7.0,3.0,23.0,5.0,4.0,-1.0
8,2020-02-23,7.0,3.0,23.0,5.0,2.0,-1.0
9,2020-02-24,2.0,1.0,9.0,1.0,3.0,0.0
10,2020-02-25,4.0,1.0,9.0,2.0,2.0,0.0
11,2020-02-26,7.0,2.0,5.0,3.0,2.0,-1.0
12,2020-02-27,8.0,3.0,12.0,4.0,2.0,0.0
13,2020-02-28,8.0,3.0,10.0,5.0,2.0,-1.0
14,2020-02-29,12.0,7.0,21.0,7.0,4.0,-2.0
15,2020-03-01,13.0,9.0,18.0,7.0,3.0,-1.0
16,2020-03-02,7.0,6.0,10.0,2.0,3.0,-1.0
17,2020-03-03,11.0,10.0,20.0,3.0,2.0,-1.0
18,2020-03-04,8.0,6.0,17.0,2.0,3.0,-1.0
19,2020-03-05,8.0,7.0,21.0,2.0,3.0,-1.0
20,2020-03-06,5.0,3.0,12.0,2.0,2.0,-1.0
21,2020-03-07,10.0,8.0,29.0,7.0,5.0,-1.0
22,2020-03-08,10.0,7.0,40.0,5.0,2.0,-1.0
23,2020-03-09,6.0,6.0,31.0,-1.0,0.0,0.0
24,2020-03-10,6.0,7.0,18.0,-3.0,-2.0,1.0
25,2020-03-11,8.0,10.0,26.0,-2.0,-1.0,0.0
26,2020-03-12,6.0,23.0,19.0,-6.0,-3.0,1.0
27,2020-03-13,2.0,26.0,4.0,-10.0,-7.0,3.0
28,2020-03-14,-6.0,18.0,3.0,-10.0,-1.0,3.0
29,2020-03-15,-9.0,12.0,5.0,-13.0,-7.0,3.0
30,2020-03-16,-8.0,21.0,-1.0,-22.0,-20.0,8.0
31,2020-03-17,-18.0,14.0,8.0,-26.0,-27.0,11.0
32,2020-03-18,-24.0,8.0,6.0,-30.0,-31.0,13.0
33,2020-03-19,-28.0,7.0,2.0,-36.0,-33.0,15.0
34,2020-03-20,-32.0,5.0,-2.0,-37.0,-36.0,16.0
35,2020-03-21,-40.0,-2.0,-3.0,-36.0,-24.0,12.0
36,2020-03-22,-44.0,-13.0,-12.0,-44.0,-31.0,11.0
37,2020-03-23,-38.0,-10.0,-23.0,-47.0,-41.0,17.0
38,2020-03-24,-39.0,-12.0,-10.0,-46.0,-45.0,19.0
39,2020-03-25,-40.0,-15.0,-7.0,-47.0,-46.0,19.0
40,2020-03-26,-40.0,-14.0,3.0,-48.0,-47.0,20.0
41,2020-03-27,-42.0,-16.0,-7.0,-49.0,-46.0,21.0
42,2020-03-28,-48.0,-19.0,-25.0,-49.0,-34.0,15.0
43,2020-03-29,-47.0,-22.0,-19.0,-51.0,-38.0,12.0
44,2020-03-30,-40.0,-18.0,-15.0,-50.0,-48.0,19.0
45,2020-03-31,-40.0,-16.0,-16.0,-49.0,-49.0,20.0
46,2020-04-01,-37.0,-11.0,-7.0,-48.0,-49.0,20.0
47,2020-04-02,-40.0,-11.0,-9.0,-51.0,-50.0,21.0
48,2020-04-03,-42.0,-12.0,-21.0,-51.0,-50.0,22.0
49,2020-04-04,-48.0,-15.0,-24.0,-50.0,-37.0,15.0
50,2020-04-05,-49.0,-20.0,-20.0,-54.0,-40.0,13.0
51,2020-04-06,-42.0,-16.0,-10.0,-52.0,-50.0,20.0
52,2020-04-07,-42.0,-14.0,-2.0,-51.0,-51.0,21.0
53,2020-04-08,-42.0,-15.0,-6.0,-51.0,-51.0,21.0
54,2020-04-09,-43.0,-13.0,-21.0,-54.0,-52.0,22.0
55,2020-04-10,-43.0,-13.0,-21.0,-54.0,-56.0,24.0
56,2020-04-11,-45.0,-7.0,-16.0,-49.0,-38.0,14.0
57,2020-04-12,-63.0,-39.0,-36.0,-56.0,-45.0,13.0
58,2020-04-13,-45.0,-22.0,-31.0,-55.0,-51.0,21.0
59,2020-04-14,-40.0,-16.0,-15.0,-50.0,-50.0,20.0
60,2020-04-15,-36.0,-13.0,-16.0,-49.0,-49.0,20.0
61,2020-04-16,-39.0,-13.0,-14.0,-50.0,-49.0,21.0
62,2020-04-17,-42.0,-17.0,-22.0,-51.0,-48.0,22.0
63,2020-04-18,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
64,2020-04-19,-45.0,-19.0,-10.0,-50.0,-37.0,11.0
65,2020-04-20,-39.0,-16.0,-7.0,-49.0,-48.0,19.0
66,2020-04-21,-38.0,-14.0,-8.0,-49.0,-49.0,20.0
67,2020-04-22,-38.0,-14.0,-9.0,-48.0,-49.0,20.0
68,2020-04-23,-40.0,-14.0,-14.0,-50.0,-49.0,21.0
69,2020-04-24,-40.0,-16.0,-14.0,-50.0,-48.0,21.0
70,2020-04-25,-41.0,-11.0,2.0,-42.0,-32.0,12.0
71,2020-04-26,-42.0,-16.0,-11.0,-48.0,-36.0,11.0
72,2020-04-27,-37.21818315964009,-18.23043951054484,-17.591107271471678,-47.906709040119665,-45.169633600044165,18.129854467097847
73,2020-04-28,-35.89837392443257,-16.23022139058393,-10.57932741386561,-45.81041932589053,-45.85258248319934,18.768844965725425
74,2020-04-29,-34.378945969267676,-15.430065592789436,-9.375271291050264,-44.91431111491897,-45.33581703898698,18.607873009081466
75,2020-04-30,-35.85850864758396,-14.829821828257463,-11.375583053286967,-46.41849364189287,-45.41937883542761,19.50030768049099
76,2020-05-01,-36.93819721246795,-16.629701689505403,-17.381311132729536,-46.410726798446234,-45.103239423059904,20.39281356587569
77,2020-05-02,-39.557258473464444,-13.63488583336287,-14.784784869799546,-41.61505131922247,-29.392925310480962,12.203220042903482
78,2020-05-03,-43.03397128153148,-23.635213886523307,-18.453405222392124,-46.19412174737866,-33.72320189544126,10.235591913122752
79,2020-05-04,-34.63949796481544,-18.840665294971863,-17.728224534222147,-45.431478636672644,-42.58193398716777,17.289822474812475
80,2020-05-05,-33.31968872960481,-16.84044717498737,-10.716444676600211,-43.33518892243074,-43.26488287029329,17.928812973430276
81,2020-05-06,-31.80026077444147,-16.040291377203758,-9.512388553797535,-42.43908071146654,-42.748117426093856,17.767841016790882
82,2020-05-07,-33.27982345276119,-15.440047612680566,-11.512700316041478,-43.943263238444736,-42.83167922254274,18.66027568820321
83,2020-05-08,-34.35951201764172,-17.239927473924087,-17.518428395482943,-43.93549639499284,-42.51553981016706,19.552781573584987
84,2020-05-09,-36.978573278653585,-14.245111617795052,-14.921902132545638,-39.139820915775815,-26.80522569758455,11.36318805060278
85,2020-05-10,-40.45528608671021,-24.24543967095157,-18.590522485142664,-43.71889134393321,-31.13550228256035,9.395559920833438
86,2020-05-11,-32.06081276998998,-19.450891079385784,-17.865341796962166,-42.95624823321935,-39.994234374276445,16.449790482522385
87,2020-05-12,-30.741003534788064,-17.450672959425713,-10.853561939353343,-40.859958518987554,-40.67718325741666,17.088780981140186
88,2020-05-13,-29.22157557961774,-16.650517161629466,-9.64950581654465,-39.963850308013264,-40.16041781320571,16.92780902449924
89,2020-05-14,-30.701138257938418,-16.050273397103666,-11.64981757879599,-41.468032834996606,-40.243979609657885,17.82024369591543
90,2020-05-15,-31.78082682282602,-17.850153258352545,-17.655545658233688,-41.46026599154399,-39.92784019727368,18.71274958128936
91,2020-05-16,-34.39988808382656,-14.85533740222322,-15.059019395305299,-36.66459051232746,-24.2175260847023,10.523156058314179
92,2020-05-17,-37.876600891884905,-24.855665455386,-18.727639747902764,-41.24366094049078,-28.547802669691663,8.555527928550106
93,2020-05-18,-29.48212757519065,-20.061116863843456,-18.002459059738733,-40.481017829784065,-37.406534761384094,15.609758490217345
94,2020-05-19,-28.16231833997133,-18.060898743864048,-10.990679202106474,-38.38472811554436,-38.089483644540024,16.2487489888501
95,2020-05-20,-26.642890384800626,-17.26074294606213,-9.786623079298165,-37.488619904569504,-37.57271820032413,16.08777703220849
96,2020-05-21,-28.122453063115646,-16.660499181526767,-11.7869348415505,-38.99280243154847,-37.656279996773016,16.98021170362765
97,2020-05-22,-29.202141628010324,-18.460379042781003,-17.792662920984434,-38.98503558809513,-37.34014058438029,17.872717588993726
98,2020-05-23,-31.8212028890157,-15.465563186655404,-15.196136658051385,-34.18936010888079,-21.629826471805877,9.683124066013475
99,2020-05-24,-35.297915697073584,-25.465891239800804,-18.86475701064348,-38.76843053703049,-25.960103056770706,7.7154959362447
100,2020-05-25,-26.90344238036519,-20.671342648257372,-18.139576322478753,-38.005787426330755,-34.81883514849276,14.769726497927255
101,2020-05-26,-25.583633145149076,-18.67112452828494,-11.127796464850341,-35.90949771209287,-35.50178403164869,15.40871699655748
102,2020-05-27,-24.06420518998352,-17.870968730494795,-9.92374034205168,-35.01338950112575,-34.98501858744254,15.247745039917742
103,2020-05-28,-25.543767868303267,-17.270724965968622,-11.924052104284794,-36.5175720281022,-35.06858038388365,16.14017971132355
104,2020-05-29,-26.62345643318202,-19.070604827214925,-17.929780183732866,-36.509805184659655,-34.752440971530206,17.032685596718125
105,2020-05-30,-29.242517694204846,-16.075788971087583,-15.333253920797477,-31.71412970543414,-19.04212685890946,8.843092073712775
106,2020-05-31,-32.71923050225231,-26.07611702422907,-19.00187427339402,-36.29320013358504,-23.372403443889787,6.8754639439553875
107,2020-06-01,-24.324757185540545,-21.281568432684395,-18.27669358522922,-35.53055702288374,-32.23113553561638,13.929694505641883
108,2020-06-02,-23.004947950326827,-19.28135031270583,-11.264913727594209,-33.43426730864139,-32.91408441875735,14.56868500426486
109,2020-06-03,-21.48551999515732,-18.481194514909117,-10.06085760479895,-32.53815909767332,-32.39731897454942,14.407713047627158
110,2020-06-04,-22.965082673469595,-17.88095075037612,-12.06116936703732,-34.042341624646724,-32.48088077099268,15.300147719038595
111,2020-06-05,-24.044771238355796,-19.68083061163361,-18.066897446486273,-34.03457478120626,-32.164741358637364,16.192653604427417
112,2020-06-06,-26.663832499377826,-16.686014755515753,-15.470371183557138,-29.23889930198579,-16.454427246027223,8.003060081424174
113,2020-06-07,-30.140545307431047,-26.68634280865734,-19.13899153614456,-33.81796973013958,-20.784703831008876,6.035431951666079
114,2020-06-08,-21.7460719907159,-21.891794217111418,-18.41381084797969,-33.05532661943672,-29.643435922739982,13.089662513356513
115,2020-06-09,-20.426262755507953,-19.891576097139733,-11.40203099036537,-30.959036905201685,-30.326384805880277,13.728653011978686
116,2020-06-10,-18.906834800349312,-19.09142029936012,-10.197974867558713,-30.06292869423824,-29.809619361679378,13.56768105533625
117,2020-06-11,-20.386397478657724,-18.491176534814826,-12.198286629793818,-31.567111221205927,-29.893181158113915,14.460115726747993
118,2020-06-12,-21.466086043540102,-20.291056396062068,-18.204014709237022,-31.559344377757412,-29.577041745743983,15.352621612131786
119,2020-06-13,-24.085147304566966,-17.296240539947934,-15.607488446303227,-26.763668898539123,-13.866727633130797,7.163028089123469
120,2020-06-14,-27.56186011261568,-27.296568593078298,-19.27610879889484,-31.34273932668231,-18.19700421810015,5.195399959366651
121,2020-06-15,-19.167386795891257,-22.502020001538433,-18.550928110730162,-30.580096215989705,-27.0557363098636,12.249630521071145
122,2020-06-16,-17.84757756069122,-20.50180188157807,-11.539148253118501,-28.483806501758497,-27.738685193003644,12.888621019688596
123,2020-06-17,-16.328149605523098,-19.701646083774442,-10.335092130305984,-27.587698290785802,-27.22191974878625,12.727649063045664
124,2020-06-18,-17.80771228383495,-19.10140231923793,-12.335403892548328,-29.091880817757787,-27.305481545229053,13.620083734460213
125,2020-06-19,-18.887400848724408,-20.901282180490522,-18.341131971987767,-29.084113974308554,-26.989342132850588,14.512589619836156
126,2020-06-20,-21.506462109729952,-17.90646632435935,-15.744605709053909,-24.28843849509082,-11.279028020272003,6.322996096857216
127,2020-06-21,-24.983174917798443,-27.906794377500415,-19.41322606163581,-28.86750892323385,-15.609304605207008,4.355367967071362
128,2020-06-22,-16.5887016010658,-23.11224578595236,-18.68804537347018,-28.104865812536403,-24.468036696972266,11.409598528781052
129,2020-06-23,-15.268892365863458,-21.112027665981515,-11.676265515853105,-26.008576098298708,-25.1509855800976,12.048589027393446
130,2020-06-24,-13.749464410696888,-20.311871868188764,-10.472209393053255,-25.112467887333374,-24.63422013589312,11.88761707075508
131,2020-06-25,-15.22902708901168,-19.71162810366418,-12.472521155280635,-26.61665041430419,-24.71778193233358,12.780051742158935
132,2020-06-26,-16.308715653908706,-21.511507964918984,-18.478249234738513,-26.6088835708597,-24.4016425199572,13.672557627540526
133,2020-06-27,-18.927776914911007,-18.516692108789524,-15.881722971806782,-21.81320809164331,-8.691328407382672,5.482964104562564
134,2020-06-28,-22.404489722973146,-28.517020161934838,-19.550343324395914,-26.39227851979141,-13.021604992338318,3.5153359747880275
135,2020-06-29,-14.010016406241158,-23.72247157037938,-18.825162636220654,-25.629635409089385,-21.88033708409588,10.569566536495685
136,2020-06-30,-12.690207171046715,-21.722253450419853,-11.813382778606236,-23.533345694855523,-22.56328596722097,11.208557035103357
137,2020-07-01,-11.170779215873159,-20.92209765261447,-10.60932665580037,-22.637237483880106,-22.04652052300499,11.047585078463436
138,2020-07-02,-12.650341894188905,-20.32185388808728,-12.609638418035146,-24.14142001085605,-22.130082319448714,11.940019749871158
139,2020-07-03,-13.73003045908248,-22.12173374933767,-18.61536649749192,-24.133653167406308,-21.813942907064362,12.83252563524982
140,2020-07-04,-16.34909172009207,-19.126917893219698,-16.018840234559658,-19.337977688195807,-6.1036287944933445,4.642932112267913
141,2020-07-05,-19.82580452814784,-29.127245946369264,-19.687460587156018,-23.917048116348973,-10.433905379469632,2.675303982504694
142,2020-07-06,-11.431331211441002,-24.332697354823946,-18.96227989898677,-23.154405005647817,-19.29263747118858,9.729534544185924
143,2020-07-07,-10.111521976224461,-22.33247923484074,-11.950500041350104,-21.05811529140403,-19.97558635432963,10.368525042810738
144,2020-07-08,-8.592094021056054,-21.53232343704714,-10.746443918553886,-20.162007080436354,-19.458820910123407,10.207553086172691
145,2020-07-09,-10.071656699377035,-20.932079672525987,-12.746755680791644,-21.66618960741525,-19.54238270656996,11.099987757580553
146,2020-07-10,-11.15134526427732,-22.731959533775903,-18.752483760240004,-21.65842276396199,-19.22624329417043,11.992493642949267
147,2020-07-11,-13.770406525281215,-19.73714367765188,-16.15595749730575,-16.862747284749144,-3.5159291815969134,3.8029001199672106
148,2020-07-12,-17.247119333330605,-29.737471730791377,-19.82457784989699,-21.44181771290051,-7.846205766576489,1.835271990209403
149,2020-07-13,-8.852646016616362,-24.942923139250972,-19.099397161737237,-20.679174602200803,-16.704937858312203,8.889502551900556
150,2020-07-14,-7.532836781402214,-22.942705019261634,-12.087617304093971,-18.582884887952535,-17.38788674143829,9.528493050518119
151,2020-07-15,-6.013408826238942,-22.1425492214798,-10.883561181307403,-17.686776676992597,-16.87112129724182,9.36752109388194
152,2020-07-16,-7.492971504565157,-21.542305456964687,-12.883872943548145,-19.190959203974455,-16.95468309369119,10.259955765289952
153,2020-07-17,-8.572660069438488,-23.342185318200052,-18.8896010229911,-19.18319236052198,-16.638543681320886,11.152461650678587
154,2020-07-18,-11.1917213304442,-20.34736946206329,-16.293074760056427,-14.387516881300838,-0.9282295687381268,2.9628681277009576
155,2020-07-19,-14.668434138505303,-30.3476975152258,-19.961695112657093,-18.966587309458067,-5.258506153707806,0.9952399979260678
156,2020-07-20,-6.273960821790903,-25.553148923664892,-19.23651442447726,-18.2039441987475,-14.117238245420866,8.049470559610464
157,2020-07-21,-4.9541515865799655,-23.552930803682518,-12.224734566837839,-16.107654484501047,-14.800187128546956,8.6884610582255
158,2020-07-22,-3.4347236314061065,-22.75277500588717,-11.020678444048272,-15.211546273530649,-14.283421684342152,8.527489101590465
159,2020-07-23,-4.91428630973149,-22.152531241372188,-13.020990206300668,-16.715728800518978,-14.366983480800226,9.419923773004994
160,2020-07-24,-5.993974874622788,-23.952411102628506,-19.026718285741847,-16.707961957073124,-14.050844068427494,10.312429658382953
161,2020-07-25,-8.613036135625258,-20.957595246493472,-16.430192022809305,-11.912286477853328,1.6594700441512096,2.1228361354063043
162,2020-07-26,-12.08974894368404,-30.957923299654063,-20.098812375407633,-16.491356906012623,-2.6708065408268915,0.15520800563675863
163,2020-07-27,-3.6952756269670823,-26.163374708105017,-19.373631687238177,-15.728713795306765,-11.529538632559433,7.209438567329815
164,2020-07-28,-2.3754663917666017,-24.16315658813388,-12.361851829618264,-13.632424081069653,-12.212487515684577,7.848429065941856
165,2020-07-29,-0.8560384365981082,-23.363000790338177,-11.157795706808031,-12.736315870095567,-11.695722071472106,7.687457109299554
166,2020-07-30,-2.335601114919619,-22.762757025810895,-13.158107469057168,-14.240498397078182,-11.779283867921466,8.57989178071439
167,2020-07-31,-3.4152896798070933,-24.562636887056964,-19.163835548492592,-14.232731553624273,-11.463144455534115,9.472397666087328
168,2020-08-01,-6.03435094080632,-21.567821030923646,-16.567309285562178,-9.43705607440582,4.247169657040538,1.282804143111651
169,2020-08-02,-9.511063748868677,-31.568149084075028,-20.235929638157913,-14.016126502555341,-0.08310692791816088,-0.6848239866626704
170,2020-08-03,-1.1165904321416154,-26.773600492518934,-19.510748949978197,-13.253483391853461,-8.941839019668095,6.369406575039724
171,2020-08-04,0.20321880305564655,-24.773382372554767,-12.498969092362131,-11.157193677618164,-9.624787902793246,7.008397073649238
172,2020-08-05,1.7226467582281004,-23.97322657475249,-11.294912969555302,-10.261085466643136,-9.108022458578985,6.847425117008969
173,2020-08-06,0.24308407990315728,-23.372982810233996,-13.29522473181168,-11.765267993630042,-9.191584255036597,7.739859788426612
174,2020-08-07,-0.8366044849913938,-25.172862671485422,-19.300952811243338,-11.757501150175417,-8.875444842640722,8.632365673791696
175,2020-08-08,-3.4556657459954634,-22.178046815355827,-16.70442654830827,-6.961825670959174,6.834869269936962,0.4427721508109492
176,2020-08-09,-6.932378554051439,-32.178374868497144,-20.37304690089889,-11.540896099106881,2.504592684974975,-1.5248559789579552
177,2020-08-10,1.4620947626838512,-27.383826276932854,-19.64786621271822,-10.778252988400158,-6.354139406776756,5.529374582749632
178,2020-08-11,2.7819039978778948,-25.383608156975658,-12.636086355105999,-8.681963274166671,-7.037088289901904,6.168365081356617
179,2020-08-12,4.301331953045211,-24.583452359185156,-11.43203023230882,-7.785855063199377,-6.520322845697395,6.00739312471822
180,2020-08-13,2.8217692747264316,-23.983208594660244,-13.432341994543986,-9.290037590176443,-6.603884642141132,6.899827796125337
181,2020-08-14,1.7420807098474305,-25.78308845590957,-19.43807007399443,-9.282270746735403,-6.287745229791188,7.792333681521017
182,2020-08-15,-0.876980551168445,-22.788272599783987,-16.84154381106793,-4.486595267510822,9.4225688828192,-0.39725984147765114
183,2020-08-16,-4.353693359226143,-32.78860065293157,-20.510164163658988,-9.065665695664448,5.09229229784366,-2.3648879712412896
184,2020-08-17,4.040779957507672,-27.99405206137298,-19.78498347547914,-8.303022584959415,-3.7664397939153154,4.689342590468983
185,2020-08-18,5.360589192696766,-25.99383394140957,-12.773203617877158,-6.206732870726975,-4.449388677024832,5.328333089070442
186,2020-08-19,6.880017147862323,-25.19367814361782,-11.569147495062333,-5.31062465975562,-3.9326232328158057,5.167361132427473
187,2020-08-20,5.400454469549199,-24.593434379083348,-13.569459257298497,-6.814807186728304,-4.0161850292562695,6.059795803837554
188,2020-08-21,4.320765904673665,-26.39331424032826,-19.575187336747845,-6.807040343282003,-3.7000456168983433,6.9523016892303104
189,2020-08-22,1.701704643642417,-23.398498384216175,-16.97866107381402,-2.01136486406416,12.01026849571563,-1.237291833778353
190,2020-08-23,-1.775008164404868,-33.39882643735984,-20.647281426409528,-6.590435292219,7.679991910724575,-3.204919963530603
191,2020-08-24,6.619465152308634,-28.604277845804447,-19.922100738234803,-5.82779218151158,-1.178740180993084,3.8493105981545064
192,2020-08-25,7.939274387513499,-26.604059725847904,-12.910320880630291,-3.7315024672837946,-1.8616890641481962,4.488301096780356
193,2020-08-26,9.458702342679427,-25.803903928050484,-11.706264757815852,-2.835394256311862,-1.3449236199342223,4.327329140136724
