,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
112,2020-06-05,18.184856979889656,30.184633520696558,49.14796260016808,2.288744288591378,9.799971263453356,-2.907317502812174
113,2020-06-06,17.684605760375348,33.935142327945975,49.1479734525387,1.2888092779519962,9.05052839851029,-2.156627372939288
114,2020-06-07,17.730700187925255,28.729796403432267,46.158020629965456,4.041142706189935,10.453129148766966,-3.2364955069345505
115,2020-06-08,22.277082289280443,34.107616006034604,61.83391592679891,6.9603004607136985,13.437770250736545,-3.9817772944043845
116,2020-06-09,22.776781049698947,34.10781331000996,64.08381248754301,6.2103499708591485,11.439215239039296,-3.731240489360614
117,2020-06-10,18.776569455687625,32.35804450321563,59.33406462978118,-0.2892444979964828,5.193744518859134,-1.7306632151858283
118,2020-06-11,18.776279965324253,33.35841538105416,53.08439296903907,2.2106037829675778,10.190264982997492,-2.479925505572755
119,2020-06-12,19.775970679890428,33.60874537878979,53.83436572414197,2.460591376457532,10.939815343335539,-3.2292100115335614
120,2020-06-13,19.275719460375594,37.35925418604401,53.834376576519276,1.4606563658158214,10.190372478390984,-2.478519881659138
121,2020-06-15,19.321813887918516,32.15390826154025,50.844423753931075,4.2129897940406,11.59297322863854,-3.558388015649717
122,2020-06-16,23.86819598926929,37.531727864123305,66.52031905075079,7.132147548566652,14.577614330609567,-4.3036698031216645
123,2020-06-17,24.367894749698074,37.531925168113055,68.77021561153481,6.382197058714336,12.579059318911911,-4.053132998077803
124,2020-06-18,20.367683155685583,35.782156361310996,64.0204677537625,-0.11739741013879623,6.333588598734498,-2.0525557239045638
125,2020-06-19,20.367393665327505,36.78252723917051,57.770796093049384,2.382450870822924,11.330109062874328,-2.8018180142897364
126,2020-06-20,21.36708437989136,37.032857236897485,58.520768848144684,2.6324384643110674,12.079659423207216,-3.5511025202506383
127,2020-06-21,20.866833160374885,40.783366044143314,58.52077970051026,1.6325034536727272,11.330216558264466,-2.80041239037729
128,2020-06-22,20.912927587920088,35.57802011963686,55.530826877930835,4.384836881898243,12.732817308511951,-3.8802805243688967
129,2020-06-23,25.459309689274377,40.955839722234025,71.2067221747533,7.303994636429884,15.717458410491389,-4.625562311840774
130,2020-06-24,25.9590084496972,40.95603702621615,73.4566187355266,6.554044146569526,13.718903398784528,-4.375025506794991
131,2020-06-25,21.95879685568544,39.20626821942034,68.70687087775745,0.05444967771718234,7.473432678611049,-2.3744482326215137
132,2020-06-26,21.95850736532857,40.206639097263334,62.457199217028545,2.554297958687168,12.469953142755676,-3.1237105230110904
133,2020-06-27,22.9581980798918,40.456969094990185,63.207171972134056,2.8042855521736003,13.219503503086967,-3.8729950289703012
134,2020-06-28,22.45794686037418,44.20747790224261,63.20718282450123,1.804350541529633,12.470060638137948,-3.122304899095443
135,2020-06-29,22.50404128792345,39.00213197773842,60.217230001926254,4.5566839697620445,13.872661388393105,-4.202173033088978
136,2020-06-30,27.05042338927491,44.37995158032436,75.8931252987506,7.4758417242847575,16.857302490359743,-4.947454820560027
137,2020-07-01,27.550122149694015,44.38014888430583,78.14302185950937,6.725891234423342,14.858747478652747,-4.6969180155132095
138,2020-07-02,23.54991055569475,42.6303800775136,73.39327400176566,0.2262967655853818,8.613276758488595,-2.696340741344739
139,2020-07-03,23.54962106532963,43.63075095535615,67.14360234100772,2.726145046551412,13.609797222637024,-3.4456030317324444
140,2020-07-04,24.54931177989265,43.88108095309064,67.89357509612236,2.976132640033444,14.359347582963899,-4.194887537689533
141,2020-07-05,24.049060560373473,47.63158976034192,67.89358594849222,1.9761976293865389,13.609904718011432,-3.444197407813596
142,2020-07-06,24.09515498792681,42.42624383583999,64.90363312592166,4.7285310576258475,15.012505468274256,-4.52406554180906
143,2020-07-07,28.641537089280003,47.804063438435065,80.57952842275311,7.6476888121479885,17.997146570241565,-5.269347329279137
144,2020-07-08,29.141235849705215,47.80426074241254,82.82942498351241,6.897738322300672,15.998591558550869,-5.018810524238091
145,2020-07-09,25.1410242556946,46.05449193562292,78.07967712576063,0.39814385344135994,9.753120838365149,-3.0182332500616886
146,2020-07-10,25.14073476533179,47.05486281346074,71.83000546500246,2.8979921344112074,14.749641302516114,-3.7674955404516117
147,2020-07-11,26.140425479893498,47.3051928111911,72.57997822011068,3.147979727893288,15.499191662840826,-4.5167800464087655
148,2020-07-12,25.6401742603808,51.055701618449234,72.57998907249025,2.1480447172526524,14.749748797898304,-3.7660899165349937
149,2020-07-13,25.686268687918282,45.850355693943015,69.59003624989161,4.900378145470353,16.15234954813809,-4.845958050523324
150,2020-07-14,30.232650789285096,51.228175296545785,85.26593154675562,7.819535900011221,19.136990650123387,-5.591239837998248
151,2020-07-14,30.732349549704345,51.22837260051564,87.5158281075042,7.0695854101558595,17.138435638423484,-5.340703032955281
152,2020-07-15,26.732137955692558,49.47860379371828,82.76608024974193,0.5699909412990465,10.89296491824051,-3.340125758780424
153,2020-07-16,26.731848465333947,50.478974671565325,76.51640858899721,3.0698392222710025,15.889485382395206,-4.089388049170779
154,2020-07-17,27.731539179894433,50.729304669298806,77.26638134411337,3.3198268157468243,16.639035742712505,-4.838672555125844
155,2020-07-18,27.231287960379138,54.47981347654979,77.26639219649164,2.319891805102639,15.889592877764576,-4.08798242525145
156,2020-07-19,27.277382387919854,49.27446755203961,74.27643937389136,5.072225233327996,17.292193628011503,-5.167850559242503
157,2020-07-20,31.823764489285622,54.65228715463611,89.95233467075295,7.991382987866093,20.276834729991737,-5.9131323467175
158,2020-07-21,32.32346324970348,54.65248445861873,92.20223123149599,7.241432498011048,18.2782797182961,-5.662595541672468
159,2020-07-22,28.323251655690523,52.90271565181366,87.45248337372328,0.7418380291567335,12.032808998115879,-3.66201826749916
160,2020-07-23,28.322962165329976,53.903086529663256,81.20281171299517,3.241686310120271,17.029329462255802,-4.411280557885291
161,2020-07-24,29.3226528798952,54.15341652739203,81.95278446808729,3.491673903612977,17.778879822594686,-5.160565063847232
