,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,2020-02-15,6.0,2.0,15.0,3.0,2.0,-1.0
1,2020-02-16,7.0,1.0,16.0,2.0,0.0,-1.0
2,2020-02-17,6.0,0.0,28.0,-9.0,-24.0,5.0
3,2020-02-18,0.0,-1.0,6.0,1.0,0.0,1.0
4,2020-02-19,2.0,0.0,8.0,1.0,1.0,0.0
5,2020-02-20,1.0,0.0,4.0,0.0,0.0,1.0
6,2020-02-21,2.0,-2.0,4.0,1.0,0.0,0.0
7,2020-02-22,7.0,3.0,23.0,5.0,4.0,-1.0
8,2020-02-23,7.0,3.0,23.0,5.0,2.0,-1.0
9,2020-02-24,2.0,1.0,9.0,1.0,3.0,0.0
10,2020-02-25,4.0,1.0,9.0,2.0,2.0,0.0
11,2020-02-26,7.0,2.0,5.0,3.0,2.0,-1.0
12,2020-02-27,8.0,3.0,12.0,4.0,2.0,0.0
13,2020-02-28,8.0,3.0,10.0,5.0,2.0,-1.0
14,2020-02-29,12.0,7.0,21.0,7.0,4.0,-2.0
15,2020-03-01,13.0,9.0,18.0,7.0,3.0,-1.0
16,2020-03-02,7.0,6.0,10.0,2.0,3.0,-1.0
17,2020-03-03,11.0,10.0,20.0,3.0,2.0,-1.0
18,2020-03-04,8.0,6.0,17.0,2.0,3.0,-1.0
19,2020-03-05,8.0,7.0,21.0,2.0,3.0,-1.0
20,2020-03-06,5.0,3.0,12.0,2.0,2.0,-1.0
21,2020-03-07,10.0,8.0,29.0,7.0,5.0,-1.0
22,2020-03-08,10.0,7.0,40.0,5.0,2.0,-1.0
23,2020-03-09,6.0,6.0,31.0,-1.0,0.0,0.0
24,2020-03-10,6.0,7.0,18.0,-3.0,-2.0,1.0
25,2020-03-11,8.0,10.0,26.0,-2.0,-1.0,0.0
26,2020-03-12,6.0,23.0,19.0,-6.0,-3.0,1.0
27,2020-02-15,6.35970610140704,-0.1335027135400244,14.96988505025247,5.241814348597174,2.039325564387095,-0.7628522057306688
28,2020-02-16,6.859748710530748,-0.13330539516016615,17.21978158403474,4.4918649466925515,0.040770795232592416,-0.5123154008094983
29,2020-02-17,2.8598809650617447,-1.8830741914175566,12.470033701047381,-2.0077284341235475,-6.204699683071195,1.4882618732477635
30,2020-02-18,2.859935323365626,-0.8827032939106964,6.220362010526,0.49212093498367704,-1.2081789768927014,0.7389995827449447
31,2020-02-19,3.859969886831611,-0.6323732741183945,6.9703347323111595,0.7421096166698755,-0.4586283748389621,-0.010284923333314044
32,2020-02-20,3.3600625165196067,3.1181355499323873,6.970345551661627,-0.25782430575989035,-1.208070997813489,0.7404052064247788
33,2020-02-21,3.4065007929273587,-2.087210353444471,3.9803926991572176,2.4945102107995965,0.1945299948102019,-0.33946292767891073
34,2020-02-22,7.953226743050461,3.290609269366967,19.65628796832262,5.4136690536149334,3.1791713395358476,-1.0847447152610106
35,2020-02-23,8.453269351928846,3.2908065967522626,21.9061845067313,4.663719651905215,1.180616570487199,-0.8342079103109358
36,2020-02-24,4.4534016061622665,1.5410378048217448,17.156436624366606,-1.835873728748913,-5.064853906576211,1.1663693637678898
37,2020-02-25,4.453455963928432,2.541408688832793,10.906764940155252,0.6639756403129402,-0.06833319904460014,0.4171070732930441
38,2020-02-26,5.453490526736517,2.791738694907256,11.65673767684164,0.9139643219091085,0.6812174049134389,-0.3321774327397393
39,2020-02-27,4.953583155709572,6.542247505797069,11.656748514160139,-0.08596960065635395,-0.06822521639518714,0.41851269705712646
40,2020-02-28,5.000021431724512,1.336901580014017,8.66679567642434,2.6663649156034754,1.334375777954203,-0.661355437005984
41,2020-02-29,9.546747381604675,6.714721187750943,24.342690964174082,5.585523758172529,4.319017123874239,-1.4066372245261478
42,2020-03-01,10.046789990755618,6.7149184889294276,26.592587515912264,4.8355732683995605,2.3204623553466783,-1.1561004195336237
43,2020-03-02,6.046922245116544,4.965149672805416,21.842839651651587,-1.6640212005613952,-3.92500812148693,0.8444768546085024
44,2020-03-03,6.046970285311982,5.9655205370640605,15.59316798377897,0.8358270802488255,1.0715123435010248,0.09521456419670082
45,2020-03-04,7.046998530524016,6.215850522241737,16.343140737483623,1.085814673652933,1.8210627045288033,-0.6540699417860588
46,2020-03-05,6.546809860584654,9.96635932843733,16.34315158735832,0.08587966299020433,1.0716198394665062,0.09662018808647299
47,2020-03-06,6.592904287917198,4.761013396729787,13.353198762014323,2.8382130911749344,2.474220589631695,-0.9832479459016009
48,2020-03-07,11.139286389270168,10.138832999322357,29.029094058842368,5.757370845698072,5.458861691599523,-1.7285297333721579
49,2020-03-08,11.638985149695277,10.139030303298082,31.27899061959824,5.007420355852059,3.4603066799098774,-1.4779929283315703
50,2020-03-09,7.6387735556848835,8.389261496508274,26.529242761844156,-1.4921741130056771,-2.7851640402741604,0.5225843458444528
51,2020-03-10,7.6384840653236035,9.3896323743589,20.27957110110058,1.0076741679611687,2.211356423876335,-0.22667794454351975
52,2020-03-11,8.6381747798848,9.639962372087078,21.029543856208342,1.2576617614422405,2.9609067841994627,-0.9759624505006588
53,2020-03-12,8.137923560371563,13.390471179342146,21.02955470858577,0.25772675080135343,2.2114639192560026,-0.22527232062712754
54,2020-03-13,8.184017987922351,8.185125254836308,18.039601886005407,3.0100601790448964,3.614064669520586,-1.305140454622585
55,2020-03-14,12.730400089275259,13.562944857433074,33.71549718284487,5.929217933561304,6.598705771481344,-2.0504222420912686
56,2020-03-15,13.230098849694407,13.563142161401178,35.965393743590035,5.179267443707248,4.600150759782492,-1.7998854370487591
57,2020-03-16,9.229887255682844,11.813373354603634,31.21564588582547,-1.320327025147991,-1.645319960398794,0.2006918371257176
58,2020-03-17,9.229597765324666,12.813744232451718,24.965974225079744,1.179521255825413,3.3512005037576835,-0.5485704532648735
59,2020-03-18,10.22928847988565,13.064074230187545,25.715946980196648,1.4295088493020853,4.100750864076392,-1.2978549592198911
60,2020-03-19,9.729037260371808,16.814583037440183,25.715957832566346,0.4295738386651793,3.351307999136696,-0.5471648293469769
61,2020-03-20,9.77513168791203,11.609237112934377,22.726005009979694,3.1819072668832424,4.753908749376682,-1.6270329633359462
62,2020-03-21,14.321513789278068,16.987056715533598,38.40190030684478,6.1010650214203554,7.738549851356431,-2.3723147508104496
63,2020-03-22,14.821212549693538,16.987254019504274,40.65179686758183,5.351114531562437,5.739994839655108,-2.1217779457659476
64,2020-03-23,10.821000955682695,15.237485212712974,35.90204900982044,-1.1484799372920125,-0.5054758805222423,-0.12120067159123304
65,2020-03-24,10.820711465327916,16.23785609056807,29.652377349090056,1.3513683436807589,4.491044583634514,-0.8704629619818551
66,2020-03-25,11.820402179886175,16.48818608828747,30.402350104200433,1.601355937158309,5.24059494395089,-1.619747467937399
67,2020-03-26,11.32015096037015,20.238694895540746,30.402360956567733,0.6014209265151655,4.491152079002969,-0.869057338063433
68,2020-03-27,11.36624538791539,15.033348971035938,27.412408133975113,3.353754354747045,5.893752829257834,-1.9489254720560278
69,2020-03-28,15.912627489280881,20.411168573634125,43.0883034308447,6.272912109279408,8.87839393123152,-2.694207259529631
70,2020-03-29,16.41232624969267,20.411365877607366,45.338199991573624,5.522961619417625,6.879838919527723,-2.4436704544831365
71,2020-03-30,12.412114655678764,18.66159707079436,40.5884521337881,-0.976632849432618,0.6343681993519379,-0.4430931803117526
72,2020-03-31,12.411825165322849,19.661967948654233,34.338780473072454,1.523215431534476,5.63088866349737,-1.1923554706985542
73,2020-04-01,13.411515879887023,19.91229794638793,35.088753228188736,1.773203025018153,6.38043902382782,-1.9416399766566315
74,2020-04-02,12.911264660370392,23.662806753638783,35.08876408054831,0.773268014378991,5.630996158883662,-1.1909498467832826
75,2020-04-03,12.95735908791696,18.457460829132543,32.09881125797487,3.5256014426046876,7.033596909131248,-2.270817980775208
76,2020-04-04,17.50374118926973,23.835280431722826,47.77470655479658,6.4447591971323615,10.018238011104545,-3.0160997682469106
77,2020-04-05,18.00343994970155,23.83547773570067,50.02460311556763,5.694808707293583,8.01968299942145,-2.765562963209048
78,2020-04-06,14.003228355678614,22.085708928903703,45.274855257783074,-0.8047857615766394,1.774212279228486,-0.7649856890287037
79,2020-04-07,14.002938865325007,23.086079806758825,39.0251835970672,1.6950625193942703,6.77073274337646,-1.5142479794177213
80,2020-04-08,15.002629579887873,23.3364098044884,39.77515635217705,1.9450501128779976,7.52028310370475,-2.2635324853758636
81,2020-04-09,14.502378360369688,27.086918611738085,39.775167204539294,0.9451151022358968,6.770840238757145,-1.5128423555014359
82,2020-04-10,14.548472787922115,21.881572687239068,36.78521438196595,3.6974485304746496,8.173440989020138,-2.592710489496192
83,2020-04-11,19.094854889274817,27.25939228983355,52.461109678799076,6.616606284995594,11.158082090986365,-3.3379922769660215
84,2020-04-12,19.594553649703,27.259589593817186,54.711006239568434,5.866655795150144,9.159527079298462,-3.0874554719252076
85,2020-04-13,15.594342055678464,25.50982078701304,49.96125838177803,-0.6329386737206599,2.9140563591050386,-1.086878197745654
86,2020-04-14,15.594052565327164,26.51019166486341,43.711586721061934,1.8669096072540659,7.910576823255549,-1.8361404881368886
87,2020-04-15,16.593743279888724,26.760521662588857,44.46155947616534,2.116897200737842,8.66012718358168,-2.5854249940950957
88,2020-04-16,16.093492060376057,30.511030469846677,44.46157032854773,1.1169621900950908,7.910684318636807,-1.8347348642211354
89,2020-04-17,16.139586487923683,25.30568454533567,41.471617505965696,3.8692956183322917,9.313285068893553,-2.9146029982153707
90,2020-04-18,20.685968589275348,30.683504147923877,57.14751280279639,6.788453372850466,12.29792617085472,-3.659884785685273
91,2020-04-19,21.185667349699813,30.683701451906867,59.39740936355122,6.038502883003961,10.299371159166682,-3.4093479806434255
92,2020-04-20,17.185455755676426,28.933932645108403,54.64766150575935,-0.4610915858629743,4.0539004389804045,-1.4087707064643888
93,2020-04-21,17.18516626532319,29.934303522961336,48.397989845059904,2.0387566951033333,9.050420903116146,-2.158032996851401
94,2020-04-22,18.184856979889656,30.184633520696558,49.14796260016808,2.288744288591378,9.799971263453356,-2.907317502812174
95,2020-04-23,17.684605760375348,33.935142327945975,49.1479734525387,1.2888092779519962,9.05052839851029,-2.156627372939288
96,2020-04-24,17.730700187925255,28.729796403432267,46.158020629965456,4.041142706189935,10.453129148766966,-3.2364955069345505
97,2020-04-25,22.277082289280443,34.107616006034604,61.83391592679891,6.9603004607136985,13.437770250736545,-3.9817772944043845
98,2020-04-26,22.776781049698947,34.10781331000996,64.08381248754301,6.2103499708591485,11.439215239039296,-3.731240489360614
99,2020-04-27,18.776569455687625,32.35804450321563,59.33406462978118,-0.2892444979964828,5.193744518859134,-1.7306632151858283
100,2020-04-28,18.776279965324253,33.35841538105416,53.08439296903907,2.2106037829675778,10.190264982997492,-2.479925505572755
101,2020-04-29,19.775970679890428,33.60874537878979,53.83436572414197,2.460591376457532,10.939815343335539,-3.2292100115335614
102,2020-04-30,19.275719460375594,37.35925418604401,53.834376576519276,1.4606563658158214,10.190372478390984,-2.478519881659138
103,2020-05-01,19.321813887918516,32.15390826154025,50.844423753931075,4.2129897940406,11.59297322863854,-3.558388015649717
104,2020-05-02,23.86819598926929,37.531727864123305,66.52031905075079,7.132147548566652,14.577614330609567,-4.3036698031216645
105,2020-05-03,24.367894749698074,37.531925168113055,68.77021561153481,6.382197058714336,12.579059318911911,-4.053132998077803
106,2020-05-04,20.367683155685583,35.782156361310996,64.0204677537625,-0.11739741013879623,6.333588598734498,-2.0525557239045638
107,2020-05-05,20.367393665327505,36.78252723917051,57.770796093049384,2.382450870822924,11.330109062874328,-2.8018180142897364
108,2020-05-06,21.36708437989136,37.032857236897485,58.520768848144684,2.6324384643110674,12.079659423207216,-3.5511025202506383
109,2020-05-07,20.866833160374885,40.783366044143314,58.52077970051026,1.6325034536727272,11.330216558264466,-2.80041239037729
110,2020-05-08,20.912927587920088,35.57802011963686,55.530826877930835,4.384836881898243,12.732817308511951,-3.8802805243688967
111,2020-05-09,25.459309689274377,40.955839722234025,71.2067221747533,7.303994636429884,15.717458410491389,-4.625562311840774
112,2020-05-10,25.9590084496972,40.95603702621615,73.4566187355266,6.554044146569526,13.718903398784528,-4.375025506794991
113,2020-05-11,21.95879685568544,39.20626821942034,68.70687087775745,0.05444967771718234,7.473432678611049,-2.3744482326215137
114,2020-05-12,21.95850736532857,40.206639097263334,62.457199217028545,2.554297958687168,12.469953142755676,-3.1237105230110904
115,2020-05-13,22.9581980798918,40.456969094990185,63.207171972134056,2.8042855521736003,13.219503503086967,-3.8729950289703012
116,2020-05-14,22.45794686037418,44.20747790224261,63.20718282450123,1.804350541529633,12.470060638137948,-3.122304899095443
117,2020-05-15,22.50404128792345,39.00213197773842,60.217230001926254,4.5566839697620445,13.872661388393105,-4.202173033088978
118,2020-05-16,27.05042338927491,44.37995158032436,75.8931252987506,7.4758417242847575,16.857302490359743,-4.947454820560027
119,2020-05-17,27.550122149694015,44.38014888430583,78.14302185950937,6.725891234423342,14.858747478652747,-4.6969180155132095
120,2020-05-18,23.54991055569475,42.6303800775136,73.39327400176566,0.2262967655853818,8.613276758488595,-2.696340741344739
121,2020-05-19,23.54962106532963,43.63075095535615,67.14360234100772,2.726145046551412,13.609797222637024,-3.4456030317324444
122,2020-05-20,24.54931177989265,43.88108095309064,67.89357509612236,2.976132640033444,14.359347582963899,-4.194887537689533
123,2020-05-21,24.049060560373473,47.63158976034192,67.89358594849222,1.9761976293865389,13.609904718011432,-3.444197407813596
124,2020-05-22,24.09515498792681,42.42624383583999,64.90363312592166,4.7285310576258475,15.012505468274256,-4.52406554180906
125,2020-05-23,28.641537089280003,47.804063438435065,80.57952842275311,7.6476888121479885,17.997146570241565,-5.269347329279137
126,2020-05-24,29.141235849705215,47.80426074241254,82.82942498351241,6.897738322300672,15.998591558550869,-5.018810524238091
127,2020-05-25,25.1410242556946,46.05449193562292,78.07967712576063,0.39814385344135994,9.753120838365149,-3.0182332500616886
128,2020-05-26,25.14073476533179,47.05486281346074,71.83000546500246,2.8979921344112074,14.749641302516114,-3.7674955404516117
